o,oPrefLabel,oDefinition,oAltLabels,oBT,oNT,oRT
http://dbpedia.org/resource/Category:Bahrain,Bahrain,,,Iranian-speaking countries and territories| Middle Eastern countries| Island countries| Western Asian countries| Member states of the Arab League| Wikipedia categories named after islands| Arabian Peninsula| Arabic-speaking countries and territories| Kingdoms| Countries in Asia| Persian-speaking countries and territories| Monarchies of Asia| English-speaking countries and territories| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Baku,Baku,,,Port cities and towns of the Caspian Sea| Port cities in Azerbaijan| Capitals in Europe| Districts of Azerbaijan| Capitals in Asia| Wikipedia categories named after capitals,,
http://dbpedia.org/resource/Category:Bangladesh,Bangladesh,,,South Asian countries| Socialist states| Bengali-speaking countries and territories| Countries in Asia| Member states of the Commonwealth of Nations| Wikipedia categories named after countries| Republics| Bengal,,
http://dbpedia.org/resource/Category:Banks,Banks,,,Financial services companies| Banking| Institutional investors| Financial institutions,,
http://dbpedia.org/resource/Category:Barbados,Barbados,,,Island countries| Wikipedia categories named after islands| Countries in the Caribbean| Continental fragments| Countries in North America| States and territories established in 1966| Leeward Islands (Caribbean)| Member states of the Commonwealth of Nations| English-speaking countries and territories| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Barium,Barium,,,Alkaline earth metals| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Basins,Basins,,,Geomorphology,,
http://dbpedia.org/resource/Category:Batholiths,Batholiths,,,Intrusions,,
http://dbpedia.org/resource/Category:Bays,Bays,,,Bodies of water| Coastal and oceanic landforms,,
http://dbpedia.org/resource/Category:Beaches,Beaches,,,Tourist attractions| Erosion landforms| Coastal and oceanic landforms,,
http://dbpedia.org/resource/Category:Bedding,Bedding,,,Beds| Home,,
http://dbpedia.org/resource/Category:Belarus,Belarus,,,Russian-speaking countries and territories| Landlocked countries| Slavic countries and territories| Eastern European countries| Countries in Europe| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Belgium,Belgium,,,Member states of the Council of Europe| Dutch-speaking countries and territories| Federal monarchies| German-speaking countries and territories| Benelux| Kingdoms| Member states of the European Union| Countries in Europe| French-speaking countries and territories| Wikipedia categories named after countries| Western European countries,,
http://dbpedia.org/resource/Category:Belize,Belize,,,Countries in the Caribbean| Countries in North America| Member states of the Commonwealth of Nations| Yucatán Peninsula| English-speaking countries and territories| Wikipedia categories named after countries| Countries in Central America,,
http://dbpedia.org/resource/Category:Bengal,Bengal,,,Geography of South Asia| Divided regions| Bengali-speaking countries and territories,,
http://dbpedia.org/resource/Category:Benin,Benin,,,Member states of the Organisation internationale de la Francophonie| Countries in Africa| West African countries| Wikipedia categories named after countries| States and territories established in 1960| Republics,,
http://dbpedia.org/resource/Category:Berkelium,Berkelium,,,Actinides| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Bermuda,Bermuda,,,Island countries| Special territories of the European Union| British Overseas Territories| Archipelagoes of the Atlantic Ocean| Wikipedia categories named after dependent territories| British North America| Wikipedia categories named after islands| English colonization of the Americas| Volcanic islands| Former British colonies and protectorates in the Americas| Dependent territories in North America| Island countries| Special territories of the European Union| British Overseas Territories| Archipelagoes of the Atlantic Ocean| Wikipedia categories named after dependent territories| British North America| Wikipedia categories named after islands| English colonization of the Americas| Volcanic islands| Former British colonies and protectorates in the Americas| Dependent territories in North America,,
http://dbpedia.org/resource/Category:Beryllium,Beryllium,,,Alkaline earth metals| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Bhutan,Bhutan,,,South Asian countries| Landlocked countries| Kingdoms| Countries in Asia| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Biochemistry,Biochemistry,,,Branches of biology| Chemistry,,
http://dbpedia.org/resource/Category:Biodegradation,Biodegradation,,,Ecology| Chemical processes| Environmental issues,,
http://dbpedia.org/resource/Category:Biogeography,Biogeography,,,Ecology| Habitat| Physical geography| Subfields of ecology| Physical oceanography| Landscape ecology,,
http://dbpedia.org/resource/Category:Biography,,,,,,
http://dbpedia.org/resource/Category:Biology,Biology,,,Life sciences,,
http://dbpedia.org/resource/Category:Biomass,Biomass,,,Solid fuels| Biofuels,,
http://dbpedia.org/resource/Category:Biota,Biota,,,Ecology| Organisms| Natural history,,
http://dbpedia.org/resource/Category:Bismuth,Bismuth,,,Post-transition metals| Pnictogens| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Bison,Bison,,,Bovines,,
http://dbpedia.org/resource/Category:Bohemia,Bohemia,,,Geography of Central Europe| Historical regions in the Czech Republic| Wikipedia categories named after former countries| Geography of the Czech Republic| Kingdoms and countries of Austria-Hungary,,
http://dbpedia.org/resource/Category:Bolivia,Bolivia,,,Spanish-speaking countries and territories| Andean Community| Landlocked countries| Countries in South America| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Borates,Borates,,,Boron compounds,,
http://dbpedia.org/resource/Category:Borneo,Borneo,,,Greater Sunda Islands| Wikipedia categories named after islands| Islands of Brunei| Divided regions| Islands of Malaysia,,Kalimantan| Kalimantan| Kalimantan| Kalimantan| Kalimantan
http://dbpedia.org/resource/Category:Boron,Boron,,,Metalloids| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Botswana,Botswana,,,Member states of the African Union| Countries in Africa| Landlocked countries| States and territories established in 1966| Bantu countries and territories| Member states of the Commonwealth of Nations| Southern African countries| English-speaking countries and territories| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Bovidae,Bovidae,,,Herbivorous animals| Even-toed ungulates,,
http://dbpedia.org/resource/Category:Branchiopoda,Branchiopoda,,,Crustaceans,,
http://dbpedia.org/resource/Category:Bratislava,Bratislava,,,Cities and towns in Slovakia| Bratislava Region| Capitals in Europe| Wikipedia categories named after populated places in Slovakia| Wikipedia categories named after capitals,,
http://dbpedia.org/resource/Category:Brazil,Brazil,,,Member states of the Community of Portuguese Language Countries| Romance countries and territories| Federal republics| Countries in South America| Wikipedia categories named after countries| Member states of the Union of South American Nations,,
http://dbpedia.org/resource/Category:Bridges,Bridges,,,Transport buildings and structures| Spans (architecture)| Structural engineering| Crossings,,
http://dbpedia.org/resource/Category:Brittany,Brittany,,,"Regions of France| Peninsulas of France| Geographical, historical and cultural regions of France| Former provinces of France",,
http://dbpedia.org/resource/Category:Bromides,Bromides,,,Halides| Halides| Salts| Salts| Bromine compounds| Bromine compounds,,Metal halides| Nonmetal halides| Metal halides| Nonmetal halides| Metal halides| Nonmetal halides
http://dbpedia.org/resource/Category:Bromine,Bromine,,,Diatomic nonmetals| Halogens| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Brunei,Brunei,,,Borneo| Island countries| Malay-speaking countries and territories| Countries in Asia| Southeast Asian countries| Sultanates| English-speaking countries and territories| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Bryophytes,Bryophytes,,,Plants| Cryptogams| Plant taxonomy,,
http://dbpedia.org/resource/Category:Buffers,Buffers,,,Acid–base chemistry,,
http://dbpedia.org/resource/Category:Buildings,Buildings,,,,,
http://dbpedia.org/resource/Category:Bulgaria,Bulgaria,,,Member states of the Organisation internationale de la Francophonie| Member states of the Council of Europe| Balkan countries| Bulgarian-speaking countries and territories| Southeastern European countries| Slavic countries and territories| Member states of the European Union| Countries in Europe| Southern European countries| Turkish-speaking countries and territories| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Buoyancy,Buoyancy,,,Fluid mechanics,,
http://dbpedia.org/resource/Category:Burundi,Burundi,,,Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Southeast African countries| Swahili-speaking countries and territories| East African countries| Countries in Africa| Landlocked countries| Bantu countries and territories| States and territories established in 1962| French-speaking countries and territories| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Cadmium,Cadmium,,,Transition metals| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Calcium,Calcium,,,Alkaline earth metals| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Calderas,,,,,,
http://dbpedia.org/resource/Category:California,California,,,States of the West Coast of the United States| States of the United States| States of the West Coast of the United States| States of the United States| States of the West Coast of the United States| States of the United States| States of the West Coast of the United States| States of the United States,,
http://dbpedia.org/resource/Category:Californium,Californium,,,Actinides| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Calorimetry,Calorimetry,,,Branches of thermodynamics,,
http://dbpedia.org/resource/Category:Cambodia,Cambodia,,,Kingdoms| Countries in Asia| Southeast Asian countries| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Cambrian,Cambrian,,,Geological periods| Paleozoic,,
http://dbpedia.org/resource/Category:Cameroon,Cameroon,,,Member states of the African Union| Central African countries| Member states of the Organisation internationale de la Francophonie| Countries in Africa| Commonwealth republics| Member states of the Commonwealth of Nations| French-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics,,
http://dbpedia.org/resource/Category:Canada,Canada,,,Member states of the Organisation internationale de la Francophonie| States and territories established in 1867| Federal monarchies| Countries in North America| Kingdoms| Member states of the Commonwealth of Nations| French-speaking countries and territories| English-speaking countries and territories| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Canals,Canals,,,Transport buildings and structures| Artificial landforms| Water transport infrastructure| Watercourses,,Canals by country| Canals by country| Canals by country| Canals by country
http://dbpedia.org/resource/Category:Canavese,Canavese,,,"Geographical, historical and cultural regions of Piedmont| Province of Turin",,
http://dbpedia.org/resource/Category:Capes,Capes,,,,,
http://dbpedia.org/resource/Category:Caracas,Caracas,,,Wikipedia categories named after populated places in Venezuela| Capitals in South America| Wikipedia categories named after capitals| Cities in Venezuela,,
http://dbpedia.org/resource/Category:Carbides,Carbides,,,Inorganic carbon compounds,,
http://dbpedia.org/resource/Category:Carbohydrates,Carbohydrates,,,Biomolecules by chemical classification| Nutrients| Macromolecules| Organic compounds| Carbohydrate chemistry| Renewable fuels,,
http://dbpedia.org/resource/Category:Carbon,Carbon,,,Polyatomic nonmetals| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Carbonates,Carbonates,,,Carbon compounds,,
http://dbpedia.org/resource/Category:Carboniferous,Carboniferous,,,Geological periods| Paleozoic,,
http://dbpedia.org/resource/Category:Cardiidae,Cardiidae,,,Bivalve families,,
http://dbpedia.org/resource/Category:Carotenoids,Carotenoids,,,Photosynthetic pigments| Phytochemicals by chemical classification| Tetraterpenes,,
http://dbpedia.org/resource/Category:Carpathians,Carpathians,,,Geography of Central Europe| Wikipedia categories named after mountain ranges| Geography of Eastern Europe| Geography of Southeastern Europe| Mountain ranges of Europe,,
http://dbpedia.org/resource/Category:Cartography,Cartography,,,Geomatics| Physical geography| Branches of geography| Earth sciences| Visualization (graphic)| Infographics,,Maps| Maps| Maps| Maps| Maps| Maps
http://dbpedia.org/resource/Category:Catalysis,Catalysis,,,Chemical reactions| Chemical processes| Chemical kinetics,,
http://dbpedia.org/resource/Category:Cations,Cations,,,Ions,,
http://dbpedia.org/resource/Category:Caucasus,Caucasus,,,Geography of Western Asia| Western Asia| Regions of Asia| Geography of Eastern Europe| Regions of Europe| Eurasia,,
http://dbpedia.org/resource/Category:Caves,Caves,,,Subterranea (geography)| Erosion landforms,,
http://dbpedia.org/resource/Category:Cellulose,Cellulose,,,Organic polymers| Glucose| Polysaccharides,,
http://dbpedia.org/resource/Category:Cement,Cement,,,Concrete| Joining,,
http://dbpedia.org/resource/Category:Cenozoic,Cenozoic,,,Phanerozoic| Geological eras,,
http://dbpedia.org/resource/Category:Ceratitida,Ceratitida,,,Ammonites by classification,,
http://dbpedia.org/resource/Category:Cerithiidae,Cerithiidae,,,Gastropod families| Sorbeoconcha,,
http://dbpedia.org/resource/Category:Chad,Chad,,,Central African countries| Member states of the Organisation internationale de la Francophonie| Countries in Africa| Arabic-speaking countries and territories| Landlocked countries| French-speaking countries and territories| Wikipedia categories named after countries| States and territories established in 1960| Republics,,
http://dbpedia.org/resource/Category:Chaetognatha,Chaetognatha,,,Invertebrate taxonomy,,
http://dbpedia.org/resource/Category:Channels,Channels,,,Bodies of water| Coastal and oceanic landforms,,
http://dbpedia.org/resource/Category:Charophyta,Charophyta,,,Green algae,,
http://dbpedia.org/resource/Category:Chert,Chert,,,Quartz varieties| Sedimentary rocks,,
http://dbpedia.org/resource/Category:Chiapas,Chiapas,,,States and territories established in 1824| Southwestern Mexico| States of Mexico| 1824 establishments in Mexico| Southeastern Mexico| Southern Mexico,,
http://dbpedia.org/resource/Category:Chile,Chile,,,Spanish-speaking countries and territories| Countries in South America| Wikipedia categories named after countries| States and territories established in 1818| Republics,,
http://dbpedia.org/resource/Category:China,China,,,Disputed territories in Asia| Northeast Asian countries| Central Asian countries| Countries in Asia| Communist states| Chinese-speaking countries and territories| One-party states| Wikipedia categories named after countries| Republics| East Asian countries,,
http://dbpedia.org/resource/Category:Chiroptera,Chiroptera,,,,,
http://dbpedia.org/resource/Category:Chlorine,Chlorine,,,Diatomic nonmetals| Halogens| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Chlorophyceae,Chlorophyceae,,,Chlorophyta,,
http://dbpedia.org/resource/Category:Chordata,Chordata,,,,,
http://dbpedia.org/resource/Category:Chromates,Chromates,,,Chromium compounds| Salts,,
http://dbpedia.org/resource/Category:Chromatography,Chromatography,,,Instrumental analysis| Separation processes| Laboratory techniques,,
http://dbpedia.org/resource/Category:Chromium,Chromium,,,Transition metals| Chemical elements| Wikipedia categories named after chemical elements,,
http://dbpedia.org/resource/Category:Chronology,Chronology,,,Humanities| Auxiliary sciences of history| Fields of history| History| Time| Timekeeping,,
http://dbpedia.org/resource/Category:Classification,Classification,,,Container categories| Names| Abstraction| Hierarchy,,
http://dbpedia.org/resource/Category:Cliffs,Cliffs,,,Slope landforms| Erosion landforms,,
http://dbpedia.org/resource/Category:Climate,Climate,,,Physical geography| Climatology,,Meteorology| Meteorology
http://dbpedia.org/resource/Category:Clouds,Clouds,,,"Forms of water| Forms of water| Clouds, fog and precipitation| Clouds, fog and precipitation",,Fog| Precipitation| Fog| Precipitation
http://dbpedia.org/resource/Category:Coal,Coal,,,Hydrocarbons| Solid fuels| Fossil fuels| Sedimentary rocks,,
http://dbpedia.org/resource/Category:Collecting,Collecting,,,Hobbies,,
http://dbpedia.org/resource/Category:Colombia,Colombia,,,Spanish-speaking countries and territories| Andean Community| Countries in South America| Wikipedia categories named after countries| Republics,,
http://dbpedia.org/resource/Category:Color,Color,,,Qualia| Artistic techniques| Graphic design| Perception| Vision,,
http://dbpedia.org/resource/Category:Combustion,Combustion,,,Oxygen| Chemical processes| Energy technology,,
http://dbpedia.org/resource/Category:Comets,Comets,,,Bodies of the Solar System,,
http://dbpedia.org/resource/Category:Communities,Communities,,,Community| Social groups,,
http://dbpedia.org/resource/Category:Comoros,Comoros,,,Island countries| Member states of the Arab League| East African countries| Wikipedia categories named after islands| Countries in Africa| Arabic-speaking countries and territories| Federal republics| Wikipedia categories named after countries,,
http://dbpedia.org/resource/Category:Companies,Companies,,,Organizations by legal status| Economy-related organizations| Business,,
http://dbpedia.org/resource/Category:Components,Components,,,Structure| Technology systems,,
http://dbpedia.org/resource/Category:Composition,Composition,,,Writing| Literary concepts,,
http://dbpedia.org/resource/Category:Computers,Computers,,,Computing| Office equipment,,
